Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,11,11,24,33,61,202,164,201,206
Expenses+,8,6,16,20,29,133,114,122,124
Operating Profit,3,4,8,13,32,69,50,78,82
OPM %,24%,41%,32%,40%,53%,34%,30%,39%,40%
Other Income+,0,0,0,0,1,1,3,5,5
Interest,0,1,1,2,2,2,4,10,12
Depreciation,0,1,2,2,2,4,8,11,12
Profit before tax,2,3,5,9,28,63,41,62,64
Tax %,34%,10%,20%,28%,25%,26%,25%,20%,
Net Profit+,1,3,5,7,21,47,31,50,50
EPS in Rs,"1,320.00",7.60,18.16,6.37,19.89,43.56,28.27,45.92,47.34
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
