Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,706","2,232","2,527","3,386","4,471","5,908","6,222","6,374","8,313","11,236","14,031","16,775","18,015"
Expenses+,"1,628","2,078","2,290","3,012","3,935","5,182","5,549","5,649","7,428","9,995","12,446","14,901","15,937"
Operating Profit,78,154,238,374,535,726,673,725,885,"1,242","1,585","1,874","2,079"
OPM %,5%,7%,9%,11%,12%,12%,11%,11%,11%,11%,11%,11%,12%
Other Income+,18,33,19,14,70,26,5,49,128,149,246,218,247
Interest,24,25,26,40,35,63,94,74,62,70,113,170,177
Depreciation,59,83,93,136,165,234,340,375,392,430,526,615,655
Profit before tax,13,79,139,212,405,455,244,325,559,891,"1,192","1,307","1,493"
Tax %,59%,25%,20%,22%,24%,29%,28%,31%,26%,21%,22%,22%,
Net Profit+,6,68,123,185,331,339,188,248,413,700,925,"1,021","1,175"
EPS in Rs,0.15,1.38,2.25,3.34,5.73,5.25,2.85,3.80,6.23,11.41,15.25,16.42,19.02
Dividend Payout %,66%,14%,10%,11%,8%,10%,7%,11%,12%,13%,13%,14%,
