Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales+,96.04,77.18,16.96,185.01,32.53,40.80,39.98,20.01,18.02,15.02,84.90,63.40
Expenses+,92.91,66.52,12.19,174.01,16.59,22.33,23.21,3.72,20.93,1.60,79.37,65.38
Operating Profit,3.13,10.66,4.77,11.00,15.94,18.47,16.77,16.29,-2.91,13.42,5.53,-1.98
OPM %,3.26%,13.81%,28.12%,5.95%,49.00%,45.27%,41.95%,81.41%,-16.15%,89.35%,6.51%,-3.12%
Other Income+,0.00,0.00,0.48,0.00,-2.69,0.00,0.00,-9.72,0.00,1.20,4.98,1.59
Interest,1.91,7.92,6.57,2.69,0.01,0.00,0.01,0.00,0.71,0.77,1.12,0.85
Depreciation,0.02,0.04,0.21,0.24,0.20,0.15,0.19,0.18,0.14,0.11,0.16,0.19
Profit before tax,1.20,2.70,-1.53,8.07,13.04,18.32,16.57,6.39,-3.76,13.74,9.23,-1.43
Tax %,22.50%,25.19%,7.84%,34.94%,42.94%,36.95%,29.99%,30.99%,48.67%,22.20%,11.27%,
Net Profit+,1.18,2.04,-1.65,5.24,7.45,11.56,11.60,4.40,-5.59,10.69,8.19,-0.66
EPS in Rs,0.12,0.11,-0.09,0.28,0.39,0.61,0.61,0.23,-0.29,0.56,0.43,-0.04
Dividend Payout %,57.63%,64.22%,0.00%,0.00%,0.00%,0.00%,8.20%,0.00%,0.00%,0.00%,0.00%,
