Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"8,384","10,256","11,377","12,463","16,340","20,160","18,849","19,421","24,355","31,974","39,145","44,089","48,838"
Expenses+,"7,892","9,650","10,558","11,591","14,769","17,997","16,585","17,189","21,601","27,947","33,645","37,514","41,389"
Operating Profit,492,605,819,871,"1,571","2,163","2,264","2,232","2,755","4,027","5,500","6,575","7,450"
OPM %,6%,6%,7%,7%,10%,11%,12%,11%,11%,13%,14%,15%,15%
Other Income+,44,80,93,163,71,25,12,36,-5,136,106,99,38
Interest,80,62,70,60,338,663,855,881,940,"1,368","1,928","2,093","2,190"
Depreciation,149,179,262,317,374,442,556,565,743,859,975,"1,046","1,185"
Profit before tax,307,444,580,658,931,"1,083",865,822,"1,067","1,936","2,703","3,535","4,112"
Tax %,39%,28%,26%,23%,29%,33%,25%,26%,31%,32%,34%,33%,
Net Profit+,187,328,429,509,665,725,647,608,731,"1,309","1,779","2,380","2,782"
EPS in Rs,3.92,6.91,9.03,10.76,13.73,14.83,13.15,12.51,15.93,27.97,35.50,47.06,55.13
Dividend Payout %,37%,28%,28%,23%,24%,24%,27%,28%,24%,18%,23%,21%,
