Metric,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,048",932,840,998,"1,026","1,061",888,939,"1,129",928,828,969,"1,125"
Expenses+,851,775,689,799,811,907,695,696,938,942,899,902,"1,008"
Operating Profit,197,157,151,198,216,154,193,244,192,-14,-71,67,117
OPM %,19%,17%,18%,20%,21%,15%,22%,26%,17%,-1%,-9%,7%,10%
Other Income+,8,7,-59,2,22,27,12,6,11,19,13,-82,62
Interest,14,27,22,64,72,57,78,73,82,238,284,228,231
Depreciation,148,106,54,73,72,71,62,64,64,93,107,218,317
Profit before tax,44,31,16,63,93,53,65,113,57,-326,-449,-462,-369
Tax %,-14%,0%,2%,0%,0%,0%,0%,31%,28%,0%,0%,8%,
Net Profit+,50,31,16,63,93,53,65,78,41,-326,-449,-498,-406
EPS in Rs,2.25,1.39,0.73,2.87,3.72,2.10,2.60,3.12,1.62,-12.61,-17.37,-19.29,-15.71
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
