Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,504,463,501,495,493,734,710,646,735,905
Expenses+,434,380,418,428,425,638,627,581,688,834
Operating Profit,70,84,84,67,68,96,84,65,47,71
OPM %,14%,18%,17%,13%,14%,13%,12%,10%,6%,8%
Other Income+,18,16,17,-4,28,48,25,14,26,30
Interest,4,1,1,3,2,1,2,3,24,36
Depreciation,31,32,31,31,33,34,36,38,50,52
Profit before tax,52,66,69,29,61,109,71,38,-1,12
Tax %,33%,36%,34%,32%,33%,40%,24%,36%,"1,003%",
Net Profit+,35,42,45,20,41,65,54,24,-13,-2
EPS in Rs,,,41.24,17.95,37.85,59.89,49.70,22.25,-12.20,-1.74
Dividend Payout %,4%,5%,12%,42%,33%,29%,141%,90%,-164%,
