Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,62,115,165,252,250,397,259,376,380
Expenses+,58,106,153,241,237,375,242,364,366
Operating Profit,4,9,12,11,13,22,16,12,14
OPM %,7%,8%,7%,4%,5%,6%,6%,3%,4%
Other Income+,1,2,6,2,3,3,4,19,6
Interest,2,4,5,6,9,11,7,4,4
Depreciation,0,1,2,2,2,4,4,5,5
Profit before tax,3,7,10,4,5,10,9,22,11
Tax %,10%,3%,1%,6%,22%,9%,27%,21%,
Net Profit+,3,6,10,4,4,10,7,17,9
EPS in Rs,0.05,0.07,0.10,0.04,0.04,0.10,0.05,0.10,0.05
Dividend Payout %,13%,16%,6%,14%,14%,0%,0%,0%,
