Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"6,587","7,233","8,613","9,413","9,514"
Interest,"4,347","4,221","5,281","5,928","6,135"
Expenses+,"3,282","2,627","3,227","3,440","3,670"
Financing Profit,"-1,042",385,105,46,-291
Financing Margin %,-16%,5%,1%,0%,-3%
Other Income+,"1,034",811,"1,515","1,813","2,119"
Depreciation,84,87,90,102,0
Profit before tax,-92,"1,108","1,529","1,757","1,828"
Tax %,-149%,30%,30%,26%,
Net Profit+,45,775,"1,070","1,303","1,358"
EPS in Rs,0.17,2.96,4.09,4.98,5.19
Dividend Payout %,0%,8%,7%,8%,
