Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,605","1,414","1,386","1,627","1,839","1,167","1,121",476,618,773,"1,614","1,561","1,502"
Expenses+,"1,378","1,180","1,144","1,343","1,579","1,038",924,594,665,"1,077","1,958","2,169","2,128"
Operating Profit,226,234,242,284,260,128,198,-119,-47,-303,-343,-608,-626
OPM %,14%,17%,17%,17%,14%,11%,18%,-25%,-8%,-39%,-21%,-39%,-42%
Other Income+,30,34,54,59,59,34,28,39,20,25,21,76,48
Interest,131,144,147,155,169,74,108,161,121,113,130,195,220
Depreciation,10,14,10,9,9,9,73,63,47,65,54,37,37
Profit before tax,116,110,139,179,141,79,44,-305,-194,-457,-507,-764,-835
Tax %,32%,46%,45%,41%,39%,38%,319%,-23%,-17%,-23%,-20%,-10%,
Net Profit+,79,60,77,105,85,49,-97,-235,-162,-351,-406,-685,-724
EPS in Rs,4.29,3.28,4.20,5.58,4.59,2.68,-5.32,-12.86,-8.72,-19.02,-22.01,-37.51,-39.60
Dividend Payout %,12%,15%,17%,13%,15%,26%,0%,0%,0%,0%,0%,0%,
