Metric,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,383,421,179,255,510,579,631,651
Expenses+,308,336,167,209,347,386,427,438
Operating Profit,75,85,12,46,163,193,205,213
OPM %,20%,20%,7%,18%,32%,33%,32%,33%
Other Income+,4,8,-4,12,14,12,22,20
Interest,42,50,57,60,62,66,17,21
Depreciation,31,31,38,40,49,51,62,66
Profit before tax,7,12,-87,-42,65,89,148,146
Tax %,218%,20%,-13%,-33%,27%,22%,44%,
Net Profit+,-8,10,-76,-28,48,69,84,99
EPS in Rs,-4.56,5.58,-4.34,-1.61,2.75,3.22,3.92,4.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,13%,
