Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,39,37,34,42,54,56,51,55,89,73,146,168,148
Expenses+,24,21,22,24,37,41,43,50,63,69,73,104,101
Operating Profit,14,16,12,18,17,15,9,5,26,4,73,64,47
OPM %,37%,43%,35%,43%,32%,27%,17%,9%,29%,6%,50%,38%,32%
Other Income+,1,0,1,1,2,2,2,1,1,5,0,-0,29
Interest,11,13,12,13,9,13,10,4,3,3,3,4,4
Depreciation,2,2,1,1,1,6,6,1,1,1,2,3,3
Profit before tax,3,1,-1,6,9,-3,-5,1,23,6,68,57,69
Tax %,32%,16%,56%,30%,29%,12%,-2%,-23%,25%,12%,21%,20%,
Net Profit+,2,1,-1,4,6,-3,-4,1,18,5,53,46,54
EPS in Rs,0.15,0.09,-0.07,0.30,0.49,-0.23,-0.34,0.10,1.35,0.39,4.11,3.35,4.08
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,7%,-0%,2%,3%,
