Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,106","2,570","1,922","1,538",714,"1,173",333,182,472,"1,174","1,528","1,890","1,833"
Expenses+,"3,986","2,461","1,842","1,492",660,"1,234",425,280,491,"1,156","1,449","1,782","1,720"
Operating Profit,120,109,80,45,54,-61,-91,-98,-20,18,79,108,112
OPM %,3%,4%,4%,3%,8%,-5%,-27%,-54%,-4%,2%,5%,6%,6%
Other Income+,7,8,9,29,15,63,17,206,36,54,23,21,19
Interest,39,40,43,44,33,42,8,6,5,6,8,30,29
Depreciation,13,33,23,19,16,17,10,5,6,13,18,22,22
Profit before tax,75,43,23,11,20,-57,-93,97,5,53,76,77,80
Tax %,35%,36%,43%,39%,31%,4%,-8%,3%,120%,21%,25%,17%,
Net Profit+,49,27,13,7,14,-59,-85,95,-1,42,57,63,66
EPS in Rs,5.67,3.20,1.51,0.79,1.62,-6.92,-9.89,11.02,-0.11,4.88,6.61,7.26,7.59
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,31%,-0%,-0%,
