Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,381,392,433,540,631,738,809,587,891,"1,880","1,718","1,505","1,484"
Expenses+,320,327,380,449,509,574,634,451,706,"1,469","1,299","1,234","1,261"
Operating Profit,61,65,54,91,122,164,175,136,185,412,419,270,223
OPM %,16%,17%,12%,17%,19%,22%,22%,23%,21%,22%,24%,18%,15%
Other Income+,-9,4,15,21,30,14,15,7,26,14,15,19,22
Interest,16,16,25,24,24,21,20,18,22,35,30,26,24
Depreciation,27,53,33,40,45,48,55,58,66,207,151,157,152
Profit before tax,11,-0,10,48,83,110,115,67,123,184,253,107,68
Tax %,-28%,"-39,300%",-30%,4%,18%,20%,20%,26%,18%,-5%,16%,-11%,
Net Profit+,14,8,13,46,69,88,92,50,101,192,211,119,99
EPS in Rs,1.35,0.78,1.31,4.56,6.87,8.78,9.18,4.96,10.07,19.22,21.12,11.86,9.91
Dividend Payout %,0%,13%,0%,4%,4%,3%,2%,2%,2%,2%,5%,3%,
