Metric,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,103,165,208,199,284,290,326,362,367
Expenses+,0,0,86,145,185,174,260,264,287,310,314
Operating Profit,0,0,16,20,22,24,24,26,39,52,53
OPM %,,,16%,12%,11%,12%,8%,9%,12%,14%,15%
Other Income+,0,0,0,1,1,1,1,1,2,1,3
Interest,0,0,7,9,10,11,12,14,13,16,17
Depreciation,0,0,6,7,7,8,11,12,12,13,13
Profit before tax,0,0,3,5,6,5,3,1,16,25,26
Tax %,,,-60%,12%,47%,39%,53%,-25%,26%,32%,
Net Profit+,0,0,5,5,3,3,1,1,12,17,17
EPS in Rs,,0.00,4.09,2.94,2.15,2.05,0.92,0.56,7.46,10.87,11.15
Dividend Payout %,,,0%,0%,0%,0%,0%,0%,0%,9%,
