Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,36,42,54,130,207,159,137,109,105,111,121,118
Expenses+,33,38,51,122,199,154,133,111,97,101,114,112
Operating Profit,3,4,3,8,8,5,5,-2,8,10,6,5
OPM %,9%,9%,6%,6%,4%,3%,4%,-2%,8%,9%,5%,4%
Other Income+,0,0,0,0,0,0,0,0,0,1,7,8
Interest,2,2,0,2,3,2,2,2,1,2,1,1
Depreciation,2,2,2,2,2,3,3,3,4,5,5,5
Profit before tax,0,1,2,4,3,1,0,-6,3,4,7,7
Tax %,33%,0%,50%,24%,2%,28%,-200%,-24%,29%,19%,28%,
Net Profit+,0,1,1,3,3,0,0,-5,2,4,5,5
EPS in Rs,0.02,0.47,0.61,0.09,0.07,0.01,0.01,-0.10,0.05,0.08,0.11,0.11
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
