Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3,4,10,7,7,10,16,12,20,17,18,22,23
Expenses+,1,0,13,1,1,1,1,0,1,1,1,1,1
Operating Profit,3,4,-4,6,6,9,16,12,19,16,18,21,23
OPM %,81%,92%,-39%,85%,87%,94%,96%,96%,97%,96%,96%,97%,97%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,3,4,-4,6,6,9,15,12,19,16,18,21,23
Tax %,0%,1%,6%,23%,3%,2%,2%,26%,25%,25%,25%,25%,
Net Profit+,3,4,-4,5,6,9,15,9,15,12,13,16,17
EPS in Rs,1.38,2.04,-2.19,2.58,3.12,4.87,8.22,4.69,7.92,6.64,7.19,8.60,9.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
