Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,365,430,358,253,264,287,284,472,542,594,634,605,622
Expenses+,344,392,327,210,200,218,238,380,442,513,568,551,572
Operating Profit,21,38,30,43,64,69,46,92,100,81,66,54,50
OPM %,6%,9%,8%,17%,24%,24%,16%,19%,18%,14%,10%,9%,8%
Other Income+,1,1,1,2,4,3,2,6,4,3,4,4,5
Interest,17,15,21,17,12,9,5,5,5,9,11,7,6
Depreciation,14,13,29,23,21,18,14,14,15,24,24,25,24
Profit before tax,-9,11,-19,4,36,45,28,79,85,52,35,26,25
Tax %,-30%,35%,-43%,31%,31%,29%,6%,22%,27%,28%,25%,26%,
Net Profit+,-6,7,-11,3,24,32,27,62,62,37,26,19,19
EPS in Rs,-6.30,7.45,-11.40,3.14,25.54,33.36,27.79,64.52,64.66,33.90,24.09,17.78,16.91
Dividend Payout %,-8%,20%,0%,0%,0%,3%,9%,8%,11%,12%,4%,6%,
