Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,994","1,658","1,499","2,078","2,344","2,292","2,290","2,341"
Expenses+,"1,820","1,517","1,363","1,928","2,171","2,126","2,125","2,121"
Operating Profit,174,141,136,150,173,167,165,220
OPM %,9%,9%,9%,7%,7%,7%,7%,9%
Other Income+,3,2,5,1,2,5,4,5
Interest,34,38,33,33,37,40,36,37
Depreciation,61,63,66,75,80,84,84,88
Profit before tax,82,42,42,43,58,48,49,101
Tax %,36%,33%,37%,35%,35%,32%,33%,
Net Profit+,52,28,26,28,38,32,33,66
EPS in Rs,4.81,2.61,2.42,2.60,3.50,2.98,3.04,6.11
Dividend Payout %,10%,10%,10%,19%,20%,24%,23%,
