Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,200,226,239,245,283,276,256,253,260,295,296,336,352
Expenses+,184,215,223,224,255,265,255,241,241,273,286,317,344
Operating Profit,16,11,16,21,27,11,1,12,19,21,10,19,8
OPM %,8%,5%,7%,9%,10%,4%,0%,5%,7%,7%,3%,6%,2%
Other Income+,4,5,4,4,1,8,7,5,7,21,9,6,11
Interest,6,8,5,6,5,7,5,4,3,2,4,4,7
Depreciation,5,2,2,2,3,3,3,3,4,5,5,5,5
Profit before tax,9,6,13,16,21,9,-1,9,19,36,10,16,7
Tax %,48%,12%,36%,40%,37%,16%,-30%,31%,18%,20%,-12%,10%,
Net Profit+,5,5,8,10,13,7,-0,6,15,29,11,15,7
EPS in Rs,6.10,6.38,10.53,12.68,16.51,9.29,-0.54,8.22,19.53,36.52,13.66,18.58,8.46
Dividend Payout %,33%,28%,24%,24%,21%,32%,-465%,43%,31%,16%,44%,35%,
