Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,085","1,151","1,175","1,258","1,418","1,688","1,543","1,609","2,102","2,203","2,346","2,578","2,790"
Expenses+,959,"1,009","1,037","1,095","1,222","1,479","1,355","1,355","1,713","1,822","1,951","2,162","2,341"
Operating Profit,126,142,138,162,196,209,187,254,389,381,395,416,449
OPM %,12%,12%,12%,13%,14%,12%,12%,16%,19%,17%,17%,16%,16%
Other Income+,5,9,4,10,5,15,22,21,35,46,56,78,78
Interest,18,18,18,16,12,13,16,11,9,8,9,11,12
Depreciation,33,39,46,53,58,68,79,83,83,79,78,92,103
Profit before tax,80,94,78,103,131,143,115,180,332,340,365,391,413
Tax %,19%,22%,17%,28%,33%,32%,22%,26%,26%,26%,26%,23%,
Net Profit+,66,74,66,75,89,100,91,133,246,252,271,302,320
EPS in Rs,20.01,22.68,20.22,22.61,27.41,31.72,29.19,42.51,78.20,80.25,86.43,94.73,100.31
Dividend Payout %,15%,15%,15%,15%,8%,16%,17%,24%,19%,20%,21%,21%,
