,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,543","1,770","1,613","1,566","1,910","2,117","1,898","1,741","2,069","2,221","1,901","1,787","1,900"
Expenses +,"1,198","1,338","1,198","1,223","1,443","1,566","1,344","1,299","1,486","1,593","1,389","1,332","1,381"
Operating Profit,346,432,415,343,468,551,554,442,583,628,512,456,519
OPM %,22%,24%,26%,22%,24%,26%,29%,25%,28%,28%,27%,25%,27%
Other Income +,28,33,51,51,52,49,58,60,75,123,76,75,89
Interest,4,11,9,3,4,8,7,11,8,8,8,8,4
Depreciation,56,56,57,58,70,80,78,80,83,80,99,90,96
Profit before tax,314,398,400,332,445,512,526,411,566,663,481,432,507
Tax %,16%,16%,12%,16%,14%,6%,15%,10%,21%,23%,22%,24%,21%
Net Profit +,262,335,352,281,383,480,449,370,449,508,373,330,400
EPS in Rs,17.30,22.07,23.19,18.49,25.24,31.67,29.57,24.35,29.58,33.50,24.57,21.78,26.36
Raw PDF,,,,,,,,,,,,,
