,Dec 2011,Mar 2012,Mar 2013,Dec 2013,Mar 2014,Dec 2014,Mar 2015,Dec 2015,Mar 2016,Jun 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,138,195,150,92,138,102,178,104,184,275,343,592,282
Expenses +,119,175,129,87,114,94,150,96,152,236,293,482,248
Operating Profit,19,20,21,5,24,8,28,7,31,39,49,110,33
OPM %,14%,10%,14%,5%,17%,8%,16%,7%,17%,14%,14%,19%,12%
Other Income +,1,1,2,1,3,1,5,5,3,4,6,2,8
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,4,2,3,4,5,5,5,6,8,7,7,8
Profit before tax,17,18,21,2,24,4,28,7,29,36,49,104,34
Tax %,31%,30%,37%,23%,45%,42%,29%,28%,34%,25%,25%,23%,26%
Net Profit +,12,13,16,2,14,3,21,5,21,27,37,80,25
EPS in Rs,1.80,1.97,2.41,0.29,2.21,0.39,3.32,0.80,3.32,4.15,5.62,12.37,4.10
Raw PDF,,,,,,,,,,,,,
