,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,259,379,595,619,693,816,872,897,"1,242","1,648","1,815","2,014","2,080"
Expenses +,224,341,497,641,641,683,743,751,"1,113","1,410","1,593","1,725","1,752"
Operating Profit,36,38,98,-22,52,133,129,145,129,238,222,289,328
OPM %,14%,10%,16%,-4%,8%,16%,15%,16%,10%,14%,12%,14%,16%
Other Income +,1,1,3,-332,1,27,22,13,13,15,33,20,52
Interest,1,3,6,16,17,15,8,6,5,4,4,3,3
Depreciation,2,5,11,17,3,3,11,12,16,26,30,34,33
Profit before tax,33,31,84,-387,33,142,131,141,122,222,220,272,344
Tax %,22%,18%,41%,2%,2%,-4%,7%,25%,25%,24%,25%,26%,
Net Profit +,26,25,50,-395,32,147,122,105,92,168,166,200,256
EPS in Rs,12.27,10.25,19.48,-148.94,12.14,53.52,43.67,37.60,32.70,59.92,60.66,73.06,93.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,7%,8%,9%,5%,0%,
