,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales +,"1,111","1,253","1,380","1,548","1,658","1,748","1,732","1,982","2,301","2,769","3,140","3,260","3,381"
Expenses +,750,865,980,"1,104","1,203","1,277","1,276","1,471","1,690","2,039","2,258","2,349","2,399"
Operating Profit,361,389,400,443,455,471,456,511,611,730,882,911,982
OPM %,32%,31%,29%,29%,27%,27%,26%,26%,27%,26%,28%,28%,29%
Other Income +,103,24,43,50,25,73,73,83,123,122,94,90,106
Interest,0,0,0,0,0,2,0,14,9,6,4,4,14
Depreciation,38,36,37,55,47,43,37,121,106,103,104,70,98
Profit before tax,425,376,406,438,434,500,492,458,618,742,868,926,975
Tax %,30%,29%,30%,33%,30%,27%,30%,23%,25%,24%,24%,26%,
Net Profit +,298,268,285,294,304,363,344,355,466,564,658,684,728
EPS in Rs,42.16,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,77.25,90.06,93.54,99.50
Dividend Payout %,45%,53%,57%,65%,66%,60%,67%,68%,72%,62%,60%,60%,
