,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,181,175,169,197,179,81,185,199,69,72,81,89,77
Expenses +,109,190,114,116,114,33,123,232,30,33,34,36,34
Operating Profit,72,-15,55,81,65,48,62,-33,39,39,47,53,44
OPM %,40%,-8%,32%,41%,36%,60%,34%,-17%,56%,54%,58%,59%,56%
Other Income +,14,94,14,36,21,29,19,147,17,34,291,13,16
Interest,0,0,0,0,0,2,0,0,0,3,2,0,0
Depreciation,5,5,5,6,5,0,7,6,2,0,0,2,2
Profit before tax,81,74,64,111,81,75,75,107,53,70,336,64,58
Tax %,33%,14%,26%,31%,37%,26%,33%,55%,26%,20%,25%,-19%,27%
Net Profit +,54,64,47,77,51,55,50,48,39,56,251,76,42
EPS in Rs,7.71,9.04,6.68,10.93,7.19,7.86,7.10,6.88,5.58,8.01,35.63,10.73,6.01
Raw PDF,,,,,,,,,,,,,
