,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,638,635,604,665,668,667,660,691,706,694,703,710,703
Expenses +,510,513,485,536,534,536,532,567,572,565,579,582,574
Operating Profit,128,122,119,129,135,131,128,125,133,129,123,127,130
OPM %,20%,19%,20%,19%,20%,20%,19%,18%,19%,19%,18%,18%,18%
Other Income +,11,15,9,21,15,23,14,17,16,23,18,23,24
Interest,1,1,4,2,2,2,2,2,2,2,2,2,2
Depreciation,14,16,16,15,17,17,18,20,21,23,23,25,26
Profit before tax,125,120,108,133,130,135,122,120,125,128,116,123,126
Tax %,26%,25%,26%,26%,26%,24%,25%,23%,26%,24%,24%,24%,25%
Net Profit +,93,90,80,98,97,102,92,93,93,97,88,93,94
EPS in Rs,8.35,8.13,7.24,8.96,8.76,9.20,8.32,8.36,8.41,8.69,7.84,8.36,8.53
Raw PDF,,,,,,,,,,,,,
