,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,402","1,376","1,449","1,471","1,462","1,444","1,824","1,642","1,741","1,674","1,715","1,716","1,852"
Expenses +,755,809,843,820,841,886,955,908,894,923,"1,001",952,"1,006"
Operating Profit,647,567,606,651,622,558,868,734,847,751,714,765,846
OPM %,46%,41%,42%,44%,42%,39%,48%,45%,49%,45%,42%,45%,46%
Other Income +,44,46,41,61,101,65,94,82,48,105,70,82,72
Interest,-7,5,7,8,-3,8,9,14,5,8,-3,-9,-4
Depreciation,20,22,21,19,18,19,19,18,18,18,17,17,18
Profit before tax,679,586,620,686,707,596,934,785,873,829,770,839,905
Tax %,28%,32%,29%,30%,29%,30%,21%,29%,29%,30%,30%,23%,29%
Net Profit +,492,398,437,479,501,417,741,560,617,578,541,644,642
EPS in Rs,56.95,46.05,50.63,55.48,57.92,48.20,85.51,64.62,71.12,66.60,62.35,74.13,73.87
Raw PDF,,,,,,,,,,,,,
