,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,786,794,"1,018",850,932,"1,104","1,071",951,960,"1,024","1,091","1,114","1,183"
Expenses +,664,666,887,711,812,966,910,781,806,895,949,955,"1,042"
Operating Profit,122,128,130,139,121,138,161,170,154,129,142,159,142
OPM %,16%,16%,13%,16%,13%,13%,15%,18%,16%,13%,13%,14%,12%
Other Income +,29,45,27,27,33,40,28,42,44,41,50,47,42
Interest,1,1,1,0,1,1,1,1,1,1,2,2,2
Depreciation,12,13,13,14,14,14,13,14,13,14,14,14,13
Profit before tax,137,159,144,152,139,164,174,197,184,155,176,190,168
Tax %,26%,26%,26%,26%,26%,26%,27%,25%,26%,26%,25%,26%,26%
Net Profit +,102,118,106,112,103,122,128,148,136,115,132,140,125
EPS in Rs,115.33,133.35,120.00,126.68,116.95,137.87,144.66,167.62,154.39,130.18,149.41,158.23,140.93
Raw PDF,,,,,,,,,,,,,
