,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,203","1,235","1,198","1,213","1,227","1,241","1,204","1,230","1,288","1,308","1,326","1,359","1,385"
Expenses +,"1,067","1,129","1,063","1,037",997,"1,010",996,"1,027","1,092","1,107","1,119","1,146","1,174"
Operating Profit,136,105,135,176,230,231,208,203,196,201,207,212,211
OPM %,11%,9%,11%,14%,19%,19%,17%,17%,15%,15%,16%,16%,15%
Other Income +,21,28,26,27,28,36,42,52,42,41,31,46,57
Interest,6,8,8,6,6,6,6,3,4,4,4,5,4
Depreciation,49,49,50,35,42,37,31,24,25,30,24,24,23
Profit before tax,102,77,104,162,210,225,212,229,210,208,210,230,241
Tax %,26%,26%,26%,26%,26%,23%,24%,24%,25%,25%,24%,23%,24%
Net Profit +,75,57,76,119,156,174,162,173,158,156,160,176,182
EPS in Rs,3.32,2.51,3.38,5.27,6.90,7.68,7.14,7.65,6.97,6.86,7.04,7.77,8.01
Raw PDF,,,,,,,,,,,,,
