,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"4,955","3,177","2,214","3,893","5,611","3,871","2,668","4,317","7,197","4,805","3,689","5,567","7,017"
Expenses +,"3,704","2,478","1,907","3,095","4,101","2,989","2,249","3,329","5,206","3,654","3,110","4,304","5,020"
Operating Profit,"1,251",699,307,798,"1,511",882,418,989,"1,991","1,151",579,"1,263","1,998"
OPM %,25%,22%,14%,20%,27%,23%,16%,23%,28%,24%,16%,23%,28%
Other Income +,10,11,9,10,42,19,9,8,44,24,45,28,77
Interest,46,45,47,63,69,62,74,94,129,119,109,41,37
Depreciation,153,153,180,172,172,171,166,188,242,257,261,273,306
Profit before tax,"1,062",511,90,573,"1,311",667,188,716,"1,663",800,254,978,"1,732"
Tax %,24%,23%,9%,24%,23%,23%,24%,23%,24%,21%,23%,25%,23%
Net Profit +,802,395,82,439,"1,005",514,144,548,"1,262",629,196,731,"1,325"
EPS in Rs,2.42,1.17,0.23,1.32,3.06,1.54,0.41,1.65,3.86,1.91,0.55,2.15,3.89
Raw PDF,,,,,,,,,,,,,
