,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,829","1,959","2,056","2,170","2,221","2,276","2,323","2,318","2,357","3,062","3,258","3,410","3,689"
Expenses +,"1,541","1,622","1,696","1,874","1,915","1,935","1,928","1,929","2,048","2,650","2,823","2,883","3,112"
Operating Profit,289,337,360,296,306,341,395,390,309,412,435,527,577
OPM %,16%,17%,17%,14%,14%,15%,17%,17%,13%,13%,13%,15%,16%
Other Income +,14,14,32,-50,16,9,15,14,6,56,56,33,64
Interest,18,21,22,20,22,32,35,37,32,30,32,40,46
Depreciation,63,61,62,72,76,77,81,79,72,124,116,125,159
Profit before tax,221,268,307,155,224,241,294,288,211,314,343,395,436
Tax %,22%,18%,23%,25%,22%,22%,18%,20%,34%,25%,25%,22%,18%
Net Profit +,172,221,236,117,176,188,243,229,139,234,256,307,356
EPS in Rs,4.91,6.60,7.47,3.76,5.41,5.88,7.71,7.24,3.99,6.06,6.45,7.99,9.49
Raw PDF,,,,,,,,,,,,,
