,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"15,888","20,803","21,755","23,625","23,280","26,023","29,038","32,041","31,480","33,704","32,042","36,595","35,439"
Expenses +,"9,573","13,416","13,924","15,470","13,935","16,073","18,601","21,108","19,655","21,420","19,669","23,868","21,124"
Operating Profit,"6,315","7,387","7,831","8,154","9,345","9,950","10,438","10,933","11,825","12,283","12,373","12,728","14,315"
OPM %,40%,36%,36%,35%,40%,38%,36%,34%,38%,36%,39%,35%,40%
Other Income +,0,0,0,2,3,0,2,4,3,3,3,10,13
Interest,"2,564","2,961","3,241","3,436","4,020","4,449","4,777","5,154","5,592","6,046","6,276","6,396","6,807"
Depreciation,157,168,172,181,202,209,232,257,267,275,288,339,317
Profit before tax,"3,594","4,258","4,419","4,540","5,125","5,292","5,431","5,527","5,968","5,966","5,812","6,002","7,204"
Tax %,28%,30%,25%,27%,28%,29%,26%,26%,29%,30%,24%,21%,26%
Net Profit +,"2,578","2,997","3,300","3,335","3,709","3,756","4,045","4,085","4,209","4,180","4,412","4,756","5,329"
EPS in Rs,8.23,9.77,11.19,11.11,12.20,12.09,13.52,13.28,13.39,13.07,13.97,15.14,17.46
Raw PDF,,,,,,,,,,,,,
