,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,879","1,955","2,008","2,027","2,172","2,273","2,445","2,432","2,580","2,797","2,921","2,858","2,891"
Expenses +,"1,854","1,923","1,977","1,994","2,145","2,241","2,409","2,395","2,558","2,763","2,886","2,810","2,861"
Operating Profit,25,32,32,34,26,32,36,37,22,33,35,47,31
OPM %,1%,2%,2%,2%,1%,1%,1%,2%,1%,1%,1%,2%,1%
Other Income +,12,12,10,8,14,13,14,9,14,11,10,10,13
Interest,1,1,2,2,2,2,3,3,3,4,3,4,4
Depreciation,9,10,11,13,12,13,14,14,13,14,13,13,14
Profit before tax,28,32,29,26,26,29,33,30,20,26,29,40,26
Tax %,5%,2%,-1%,8%,0%,6%,6%,5%,4%,4%,1%,5%,5%
Net Profit +,27,32,29,24,26,28,31,28,19,25,28,38,25
EPS in Rs,15.52,18.67,16.94,14.00,15.74,16.26,18.49,16.39,12.40,14.66,16.95,20.85,15.83
Raw PDF,,,,,,,,,,,,,
