,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,511",545,763,708,214,-210,1,1,1,2,0,0,1
Expenses +,"1,532",581,797,729,277,-180,37,33,51,32,31,27,24
Operating Profit,-21,-36,-34,-21,-63,-30,-36,-33,-51,-30,-31,-27,-23
OPM %,-1%,-7%,-4%,-3%,-29%,,"-4,982%","-5,123%","-7,788%","-1,938%","-12,224%","-11,843%","-1,699%"
Other Income +,12,"1,896",52,44,83,86,95,103,95,81,39,48,78
Interest,112,10,-7,7,0,1,-1,0,0,0,1,5,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,-122,"1,849",24,15,18,54,59,69,43,49,7,14,53
Tax %,0%,15%,-314%,34%,21%,3%,6%,-1%,25%,3%,49%,85%,17%
Net Profit +,-122,"1,577",98,10,15,52,56,70,33,48,4,2,44
EPS in Rs,-0.81,10.51,0.65,0.07,0.10,0.35,0.37,0.47,0.22,0.32,0.02,0.01,0.30
Raw PDF,,,,,,,,,,,,,
