,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,219",826,887,840,"1,349","1,048",923,961,"1,314",935,828,942,"1,290"
Expenses +,450,289,303,343,552,321,334,438,595,394,383,527,674
Operating Profit,770,537,584,498,797,728,589,523,719,541,444,414,617
OPM %,63%,65%,66%,59%,59%,69%,64%,54%,55%,58%,54%,44%,48%
Other Income +,104,89,100,91,122,112,140,142,149,172,146,184,189
Interest,2,3,2,2,3,2,2,2,2,4,4,4,4
Depreciation,213,80,114,80,90,219,115,108,113,196,113,118,108
Profit before tax,658,544,569,507,827,619,612,555,753,513,474,477,694
Tax %,25%,25%,25%,25%,28%,25%,26%,25%,26%,20%,23%,22%,24%
Net Profit +,494,407,425,380,592,465,454,415,560,409,363,371,529
EPS in Rs,12.53,10.34,10.78,9.65,15.02,11.79,11.52,10.52,14.19,10.38,9.21,9.41,13.43
Raw PDF,,,,,,,,,,,,,
