,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,885,432,492,898,"1,140","1,031",759,"1,068","1,363","1,371",475,"1,221","1,329"
Expenses +,489,337,387,559,612,573,490,571,558,567,436,673,758
Operating Profit,395,95,106,339,528,458,268,497,805,804,39,548,571
OPM %,45%,22%,22%,38%,46%,44%,35%,47%,59%,59%,8%,45%,43%
Other Income +,34,20,21,29,20,29,37,42,48,64,176,66,62
Interest,4,4,4,3,4,4,5,6,5,4,4,10,3
Depreciation,40,42,42,41,44,44,44,56,44,46,47,98,58
Profit before tax,386,70,81,324,500,440,256,478,804,818,164,506,572
Tax %,17%,19%,23%,15%,16%,16%,17%,19%,17%,17%,19%,20%,16%
Net Profit +,320,57,62,276,420,369,213,386,668,676,132,406,480
EPS in Rs,17.55,3.11,3.41,15.11,23.47,20.60,11.88,21.57,37.32,37.81,7.43,22.70,26.84
Raw PDF,,,,,,,,,,,,,
