,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales +,389,389,425,414,485,474,565,392,508,529,798,491,578
Expenses +,296,300,332,314,366,353,429,300,396,386,602,360,452
Operating Profit,93,89,93,100,119,120,135,92,112,143,195,130,126
OPM %,24%,23%,22%,24%,24%,25%,24%,24%,22%,27%,24%,27%,22%
Other Income +,5,4,9,9,14,11,16,17,14,17,21,108,18
Interest,3,2,5,2,3,1,2,2,2,3,5,6,6
Depreciation,12,12,14,12,13,13,13,13,13,16,19,25,25
Profit before tax,83,79,84,94,117,117,136,94,111,140,192,207,113
Tax %,22%,20%,19%,23%,24%,23%,24%,22%,21%,23%,24%,15%,22%
Net Profit +,65,63,68,73,89,90,104,73,88,108,146,175,88
EPS in Rs,2.90,2.80,3.03,3.25,3.95,4.03,4.62,3.27,3.91,4.79,6.53,7.82,3.91
Raw PDF,,,,,,,,,,,,,
