,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"4,468","3,987","4,537","4,791","5,201","4,435","4,914","5,409","5,199","4,614","5,927","6,115","6,087"
Expenses +,"4,042","3,971","4,158","4,322","4,430","3,885","4,010","4,572","4,520","4,178","4,812","5,284","5,309"
Operating Profit,426,16,379,469,771,549,905,837,679,436,"1,116",830,778
OPM %,10%,0%,8%,10%,15%,12%,18%,15%,13%,9%,19%,14%,13%
Other Income +,58,56,-35,55,80,212,94,350,73,124,649,330,70
Interest,15,18,19,15,25,29,34,67,33,33,28,14,30
Depreciation,165,173,173,177,200,213,235,237,235,242,260,265,255
Profit before tax,305,-118,152,331,626,519,729,883,484,284,"1,476",882,563
Tax %,25%,-26%,26%,29%,25%,25%,26%,-7%,26%,30%,26%,15%,33%
Net Profit +,227,-87,113,236,466,388,538,943,360,200,"1,092",751,375
EPS in Rs,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99,19.99
Raw PDF,,,,,,,,,,,,,
