,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,055","1,078","1,077","1,095","1,150","1,125","1,092","1,203","1,206","1,244","1,256","1,213","1,283"
Expenses +,871,864,893,928,947,"1,001",920,990,"1,013","1,121","1,135",929,"1,116"
Operating Profit,184,214,184,167,203,124,172,213,194,124,121,285,167
OPM %,17%,20%,17%,15%,18%,11%,16%,18%,16%,10%,10%,23%,13%
Other Income +,9,10,13,20,23,18,24,35,40,23,48,13,15
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,16,17,17,17,18,19,19,19,20,20,21,22,23
Profit before tax,176,207,180,170,207,122,177,230,214,127,147,276,160
Tax %,27%,25%,35%,28%,26%,26%,25%,24%,26%,26%,26%,26%,26%
Net Profit +,129,156,117,123,154,90,132,175,159,94,110,203,118
EPS in Rs,26.12,31.52,23.60,24.87,31.24,18.20,26.73,35.44,32.15,19.05,22.15,41.12,23.91
Raw PDF,,,,,,,,,,,,,
