,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,304,356,275,370,326,328,289,382,336,421,351,433,367
Expenses +,264,294,227,291,267,260,236,291,272,329,286,334,299
Operating Profit,41,62,47,80,58,69,53,91,64,91,65,98,68
OPM %,13%,17%,17%,22%,18%,21%,18%,24%,19%,22%,18%,23%,19%
Other Income +,5,8,8,8,9,10,11,13,11,10,9,9,13
Interest,3,3,3,3,4,4,3,6,6,6,4,3,3
Depreciation,5,5,6,6,6,6,7,7,7,7,7,7,7
Profit before tax,37,61,47,78,57,68,55,91,62,88,62,97,70
Tax %,24%,22%,22%,24%,25%,23%,21%,23%,25%,25%,23%,27%,25%
Net Profit +,28,48,37,60,43,52,43,70,47,66,48,71,53
EPS in Rs,2.73,4.63,3.59,5.86,4.22,5.15,4.25,6.88,4.71,6.64,4.81,7.16,5.35
Raw PDF,,,,,,,,,,,,,
