,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,114","1,210","1,239","1,357","1,139","1,194","1,045","1,070",960,"1,045","1,016","1,041",955
Expenses +,793,843,778,865,744,884,828,900,785,903,933,961,844
Operating Profit,321,367,461,493,395,310,218,170,176,142,83,81,110
OPM %,29%,30%,37%,36%,35%,26%,21%,16%,18%,14%,8%,8%,12%
Other Income +,11,17,24,10,35,35,41,59,42,54,69,45,45
Interest,6,7,14,10,7,6,6,6,7,8,10,13,11
Depreciation,46,47,48,48,44,46,46,49,47,53,53,57,58
Profit before tax,280,331,423,444,379,294,207,174,163,135,89,56,86
Tax %,25%,26%,26%,28%,27%,26%,23%,25%,26%,26%,24%,18%,30%
Net Profit +,209,246,311,321,278,219,159,130,122,101,67,46,60
EPS in Rs,28.06,32.50,39.93,42.12,37.17,28.88,20.58,18.14,17.24,13.49,9.72,6.66,8.23
Raw PDF,,,,,,,,,,,,,
