,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,618,650,687,693,684,722,753,767,782,832,854,898,935
Expenses +,474,469,496,486,517,517,546,571,616,616,646,680,714
Operating Profit,143,181,191,207,167,205,207,196,166,216,207,219,221
OPM %,23%,28%,28%,30%,24%,28%,28%,26%,21%,26%,24%,24%,24%
Other Income +,22,21,18,5,8,14,19,23,21,13,21,32,14
Interest,5,5,5,6,6,6,6,6,8,8,8,11,10
Depreciation,25,27,30,32,28,30,34,34,32,33,36,41,37
Profit before tax,135,170,173,174,141,182,187,179,148,188,184,199,188
Tax %,27%,26%,24%,24%,24%,25%,26%,28%,24%,26%,25%,23%,25%
Net Profit +,100,126,131,132,107,136,139,130,112,140,137,153,142
EPS in Rs,19.57,24.82,25.85,27.04,21.69,27.73,28.28,26.62,22.77,28.61,27.96,31.04,28.90
Raw PDF,,,,,,,,,,,,,
