,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"35,092","29,838","35,169","38,152","35,983","32,776","36,154","38,213","36,465","30,673","36,859","37,825","35,842"
Expenses +,"22,865","22,700","24,781","28,819","22,431","22,738","23,183","26,826","22,126","22,056","24,541","26,034","23,321"
Operating Profit,"12,227","7,139","10,389","9,333","13,552","10,038","12,971","11,388","14,339","8,617","12,317","11,790","12,521"
OPM %,35%,24%,30%,24%,38%,31%,36%,30%,39%,28%,33%,31%,35%
Other Income +,995,"1,761","1,671","2,291","1,538","2,074","2,489","2,318","1,970","1,642","2,214","4,106","1,760"
Interest,150,135,204,195,178,182,227,232,209,208,226,241,265
Depreciation,994,"1,077","1,262","1,860","1,527","1,594","1,723","1,892","1,952","1,898","2,513","2,782","2,307"
Profit before tax,"12,077","7,687","10,594","9,569","13,385","10,336","13,510","11,582","14,147","8,153","11,792","12,873","11,709"
Tax %,27%,21%,27%,28%,22%,22%,24%,26%,23%,23%,28%,25%,25%
Net Profit +,"8,834","6,044","7,719","6,869","10,498","8,049","10,292","8,530","10,944","6,275","8,491","9,593","8,734"
EPS in Rs,14.33,9.81,12.58,11.16,17.08,13.06,16.64,13.91,17.78,10.21,13.80,15.58,14.19
Raw PDF,,,,,,,,,,,,,
