,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"3,938","5,635","7,068","8,327","9,319","9,629"
Expenses +,"3,385","4,905","6,276","7,315","8,323","8,627"
Operating Profit,553,730,792,"1,012",996,"1,003"
OPM %,14%,13%,11%,12%,11%,10%
Other Income +,24,-35,12,8,13,8
Interest,7,28,28,27,25,26
Depreciation,37,106,124,147,179,188
Profit before tax,532,561,652,846,806,797
Tax %,26%,27%,25%,25%,25%,
Net Profit +,396,411,487,638,606,600
EPS in Rs,,0.62,0.73,0.96,0.91,0.91
Dividend Payout %,0%,65%,59%,55%,26%,
