,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,503,534,489,491,541,601,539,545,602,660,597,603,670
Expenses +,385,390,376,375,395,424,398,401,432,458,443,434,478
Operating Profit,118,144,113,116,146,178,141,145,170,202,154,169,192
OPM %,23%,27%,23%,24%,27%,30%,26%,27%,28%,31%,26%,28%,29%
Other Income +,8,9,10,14,14,18,18,18,21,22,25,26,28
Interest,8,11,9,9,8,8,7,7,6,6,5,5,5
Depreciation,36,39,38,38,35,36,36,37,35,35,36,36,35
Profit before tax,81,103,76,83,118,152,116,120,150,183,138,153,181
Tax %,28%,30%,30%,32%,29%,27%,29%,28%,28%,29%,29%,-1%,26%
Net Profit +,58,72,54,57,84,111,82,86,108,131,98,156,134
EPS in Rs,6.92,8.60,6.33,6.80,9.90,13.09,9.74,10.12,12.75,15.46,11.57,18.52,15.80
Raw PDF,,,,,,,,,,,,,
