,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"71,935","79,611","88,489","105,932","102,236","105,129","110,577","119,033","107,102","101,450","112,608","119,503","104,407"
Expenses +,"69,522","74,039","77,668","92,818","89,019","91,362","95,159","102,348","91,854","89,291","100,185","102,685","94,183"
Operating Profit,"2,413","5,572","10,820","13,114","13,217","13,767","15,418","16,685","15,248","12,159","12,423","16,818","10,224"
OPM %,3%,7%,12%,12%,13%,13%,14%,14%,14%,12%,11%,14%,10%
Other Income +,"2,381","1,351","1,130","1,453",895,"1,557","1,604","1,412","6,553","1,647","1,700","1,057","1,595"
Interest,"2,421","2,487","2,676","2,642","2,615","2,652","2,485","1,645","1,471","2,034","1,119","1,076",938
Depreciation,"5,841","5,897","6,072","7,050","6,633","6,637","6,850","7,143","6,565","6,005","5,399","5,295","5,320"
Profit before tax,"-3,468","-1,461","3,203","4,875","4,864","6,035","7,687","9,309","13,765","5,767","7,605","11,504","5,561"
Tax %,44%,-31%,8%,-13%,32%,36%,7%,-88%,23%,40%,28%,26%,28%
Net Profit +,"-4,951",-898,"3,043","5,496","3,301","3,832","7,145","17,528","10,587","3,450","5,485","8,556","4,003"
EPS in Rs,-15.08,-2.84,8.91,16.28,9.64,11.33,21.14,52.37,31.63,9.08,14.69,23.01,10.66
Raw PDF,,,,,,,,,,,,,
