,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,140,149,141,125,150,207,214,241,257,322,278,224,259
Expenses +,66,58,57,56,70,79,84,93,103,122,117,115,129
Operating Profit,75,91,85,68,80,128,130,148,154,200,161,109,130
OPM %,53%,61%,60%,55%,53%,62%,61%,61%,60%,62%,58%,49%,50%
Other Income +,6,21,20,19,24,23,21,29,30,37,21,32,36
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,4,5,5,5,6,6,7,8,10,12,13,14,15
Profit before tax,77,107,99,82,98,145,145,168,175,225,168,127,151
Tax %,25%,25%,25%,23%,25%,25%,26%,23%,23%,28%,23%,21%,32%
Net Profit +,58,80,75,63,74,109,107,129,134,162,130,100,102
EPS in Rs,2.76,3.85,3.57,3.02,3.52,5.21,5.14,6.18,6.42,7.75,6.22,4.80,4.90
Raw PDF,,,,,,,,,,,,,
