,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"18,489","17,108","17,705","17,635","17,164","17,774","17,195","17,038","17,778","19,990","18,790","18,765","21,495"
Expenses +,"12,412","10,849","11,000","11,011","10,494","11,320","10,985","10,736","11,233","13,438","12,428","12,246","14,678"
Operating Profit,"6,077","6,259","6,705","6,624","6,670","6,454","6,210","6,302","6,545","6,552","6,362","6,519","6,816"
OPM %,33%,37%,38%,38%,39%,36%,36%,37%,37%,33%,34%,35%,32%
Other Income +,321,455,595,683,722,674,820,868,771,690,803,"15,391",751
Interest,9,13,9,12,10,10,12,11,10,15,10,11,16
Depreciation,438,462,447,461,442,453,384,385,403,416,416,411,423
Profit before tax,"5,950","6,239","6,844","6,833","6,940","6,665","6,635","6,774","6,903","6,811","6,740","21,489","7,128"
Tax %,25%,25%,26%,24%,25%,26%,19%,23%,25%,26%,26%,8%,25%
Net Profit +,"4,472","4,682","5,080","5,243","5,190","4,965","5,407","5,191","5,177","5,054","5,013","19,808","5,343"
EPS in Rs,3.56,3.73,4.03,4.16,4.10,3.93,4.28,4.10,4.08,3.99,3.94,15.76,4.19
Raw PDF,,,,,,,,,,,,,
