,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"3,141","3,962","4,153","6,479","3,533","4,009","4,162","8,564","4,244","4,605","5,771","9,150","4,440"
Expenses +,"2,618","3,093","3,290","4,647","2,860","2,995","3,090","6,277","3,295","3,205","4,101","6,334","3,201"
Operating Profit,522,868,863,"1,832",673,"1,014","1,072","2,287",948,"1,400","1,669","2,816","1,238"
OPM %,17%,22%,21%,28%,19%,25%,26%,27%,22%,30%,29%,31%,28%
Other Income +,82,74,59,66,140,137,167,225,204,158,186,195,163
Interest,1,2,10,2,1,2,1,4,1,1,1,6,1
Depreciation,99,109,106,114,109,108,107,119,108,111,111,138,121
Profit before tax,504,831,806,"1,782",703,"1,041","1,132","2,390","1,043","1,445","1,744","2,867","1,279"
Tax %,29%,26%,25%,23%,25%,25%,25%,25%,25%,25%,25%,26%,25%
Net Profit +,366,624,614,"1,382",539,790,860,"1,797",791,"1,093","1,312","2,127",969
EPS in Rs,0.50,0.85,0.84,1.89,0.74,1.08,1.18,2.46,1.08,1.49,1.79,2.91,1.33
Raw PDF,,,,,,,,,,,,,
