,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,605,659,677,687,544,582,683,643,486,541,576,615,490
Expenses +,426,478,484,496,383,445,514,467,380,435,458,430,376
Operating Profit,179,181,193,191,161,138,169,176,106,106,117,186,114
OPM %,30%,27%,29%,28%,30%,24%,25%,27%,22%,20%,20%,30%,23%
Other Income +,32,25,27,19,18,28,19,27,25,22,44,27,24
Interest,1,1,2,2,1,1,2,0,1,2,1,1,1
Depreciation,15,17,19,17,16,14,15,16,14,15,16,17,15
Profit before tax,195,188,199,191,163,150,171,187,115,111,144,195,122
Tax %,26%,26%,26%,27%,26%,27%,25%,27%,21%,26%,24%,27%,25%
Net Profit +,145,140,147,139,120,110,129,137,90,82,109,141,91
EPS in Rs,2.86,2.76,2.91,2.75,2.25,2.10,2.50,2.62,1.64,1.52,2.08,2.76,1.67
Raw PDF,,,,,,,,,,,,,
