,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,841,942,"1,314","1,330","1,365","1,431","1,438","1,564","2,160","2,648","2,926","3,366","3,519"
Expenses +,486,626,833,869,998,"1,122","1,111","1,115","1,498","1,925","2,150","2,557","2,656"
Operating Profit,355,316,482,461,368,309,326,450,662,723,776,809,862
OPM %,42%,34%,37%,35%,27%,22%,23%,29%,31%,27%,27%,24%,25%
Other Income +,11,32,36,28,61,49,45,34,24,66,64,87,80
Interest,1,1,1,2,1,1,20,21,23,22,24,36,37
Depreciation,33,50,57,52,48,45,71,82,103,114,126,141,146
Profit before tax,332,298,460,436,380,311,281,381,560,653,689,719,759
Tax %,23%,23%,26%,19%,24%,27%,26%,26%,25%,25%,26%,25%,
Net Profit +,256,230,342,354,290,228,209,283,418,489,512,541,571
EPS in Rs,42.33,37.84,55.80,59.30,50.08,39.29,37.65,54.03,82.33,99.71,104.33,110.37,116.51
Dividend Payout %,41%,46%,1%,1%,1%,2%,2%,1%,1%,1%,1%,1%,
