,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,686,745,917,"1,017","1,098","1,199","1,257","1,318","1,365","1,471","1,478","1,528","1,539"
Expenses +,553,607,747,835,884,959,998,"1,045","1,077","1,174","1,172","1,205","1,244"
Operating Profit,133,138,170,182,214,240,259,272,288,297,306,323,295
OPM %,19%,19%,19%,18%,19%,20%,21%,21%,21%,20%,21%,21%,19%
Other Income +,16,11,18,7,22,9,19,17,54,52,19,60,16
Interest,6,7,8,11,14,14,16,12,13,10,10,9,12
Depreciation,31,33,40,42,45,48,50,53,53,56,58,58,63
Profit before tax,112,109,139,136,177,188,212,224,277,283,257,316,236
Tax %,22%,23%,25%,18%,24%,25%,26%,26%,26%,28%,27%,23%,27%
Net Profit +,88,84,104,112,134,141,157,166,204,204,187,245,172
EPS in Rs,3.12,3.05,3.67,4.07,4.89,5.14,5.67,6.00,7.45,7.43,6.82,8.93,6.27
Raw PDF,,,,,,,,,,,,,
