,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"174,121","160,923","124,036","282,506","322,706","421,624","396,728","303,849","491,246","632,291","601,581","612,065","658,346"
Expenses +,"124,991","118,610","84,901","229,702","265,817","346,805","344,623","254,375","411,373","556,764","499,198","523,205","565,809"
Operating Profit,"49,130","42,312","39,135","52,804","56,889","74,819","52,105","49,473","79,874","75,527","102,383","88,861","92,537"
OPM %,28%,26%,32%,19%,18%,18%,13%,16%,16%,12%,17%,15%,14%
Other Income +,"7,170","5,955","1,067","12,724","10,429","9,567",982,"11,271","6,797",-30,"14,712","13,278","12,594"
Interest,624,"2,864","3,766","3,591","4,999","5,837","7,489","5,079","5,696","7,889","13,026","14,535","14,260"
Depreciation,"16,262","18,033","16,384","20,219","23,112","23,704","26,635","25,538","26,883","24,557","30,440","35,206","36,134"
Profit before tax,"39,413","27,370","20,052","41,718","39,208","54,846","18,962","30,126","54,091","43,051","73,629","52,398","54,737"
Tax %,32%,35%,35%,30%,34%,38%,40%,29%,9%,24%,25%,27%,
Net Profit +,"26,665","17,703","13,102","29,169","26,068","33,938","11,456","21,360","49,294","32,778","55,273","38,329","40,073"
EPS in Rs,20.65,14.29,10.03,19.03,17.23,24.28,8.59,12.96,36.19,28.17,39.06,28.80,28.63
Dividend Payout %,31%,44%,56%,40%,38%,29%,58%,28%,29%,40%,31%,43%,
