,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,580,683,789,749,703,836,758,863,908,927,996,"1,037","1,040"
Expenses +,564,624,712,686,645,764,677,791,820,864,916,945,939
Operating Profit,16,59,78,63,58,73,80,72,88,63,81,92,101
OPM %,3%,9%,10%,8%,8%,9%,11%,8%,10%,7%,8%,9%,10%
Other Income +,50,7,-5,23,23,14,15,25,7,40,29,36,30
Interest,11,10,9,10,13,11,13,12,13,12,13,6,6
Depreciation,5,6,6,7,8,9,9,12,7,7,8,8,9
Profit before tax,50,50,58,70,61,67,74,72,75,85,89,115,116
Tax %,11%,10%,12%,8%,14%,12%,17%,4%,9%,15%,12%,17%,20%
Net Profit +,45,45,50,64,53,59,61,69,68,72,78,95,93
EPS in Rs,6.16,6.46,7.27,9.24,7.54,8.38,8.73,9.99,9.75,10.43,10.56,12.89,12.64
Raw PDF,,,,,,,,,,,,,
