,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,975,690,685,535,404,444,448,433,375,464,531,435,632
Expenses +,631,584,639,445,363,411,413,427,354,415,502,359,567
Operating Profit,345,106,46,90,41,32,35,7,21,49,29,76,65
OPM %,35%,15%,7%,17%,10%,7%,8%,2%,6%,11%,6%,18%,10%
Other Income +,-60,39,51,43,44,60,79,174,561,179,97,-116,649
Interest,0,0,0,1,0,0,0,1,2,5,6,8,12
Depreciation,5,5,5,5,5,5,5,5,5,6,6,6,6
Profit before tax,280,139,92,126,80,87,108,175,576,217,114,-54,696
Tax %,22%,22%,21%,22%,25%,28%,21%,19%,21%,34%,21%,7%,23%
Net Profit +,219,109,73,98,60,62,85,142,456,143,90,-58,538
EPS in Rs,75.21,37.51,25.00,33.71,20.47,21.28,29.31,48.81,156.82,49.41,31.20,-20.96,184.17
Raw PDF,,,,,,,,,,,,,
